System,Category,Mean RTE (%),SD RTE,Net Energy/Cycle (J),SD Net,Total Loss/Cycle (J),Rope Loss (J),Bearing Loss (J),Gearbox Loss (J),Motor Loss (J),System-Specific Loss (J)
Dual Weight,Regenerative,74.4290780016962,0.889084364572462,-677.297010969072,23.5491775644308,677.297010969072,162.018398317163,0.52974,289.449738435882,445.371383535301,434.974137853208
Variable CW,Regenerative,75.9917443154701,0.770103851308011,-388.609630637643,12.4652859891971,388.609630637643,89.0168709055208,0.2943,160.921036226597,246.986182480432,89.1092379396589
Buoyancy,Storage,56.8138434327367,0.771858303396338,-1686.55572245871,11.3578949344771,635.48429388728,90.3785780649107,0.2943,160.762533513244,250.630317547779,2801.24333094234
Halbach Array,Storage,56.5375143876478,0.415377059076071,-839.35479960265,6.11227342430438,639.550475785763,44.7583787967144,0.14715,80.4314247080625,124.451981543625,846.461580621414
